ISO3,Country,region,sub-region,Latitude,Longitude,Life Expectancy at Birth (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
AFG,Afghanistan,Asia,Southern Asia,33.93911,67.709953,61.9824,2.98506999,1824.190915,10.767,10.767,,,,,,,,,
AGO,Angola,Africa,Sub-Saharan Africa,-11.202692,17.873887,61.6434,5.417390823,5465.617791,28.94534,28.94534,28.94534,28.94534,28.94534,28.87733,28.87733,28.87733,28.87733,28.87733,28.87733
ALB,Albania,Europe,Southern Europe,41.153332,20.168331,76.4626,11.28645502,14131.11039,18.33096,12.23739254,12.23739254,12.23739254,12.23739254,12.23739254,12.23739254,13.17898,13.17898,13.17898,13.17898
AND,Andorra,Europe,Southern Europe,42.546245,1.601554,80.3684,10.55511952,51166.62661,,,,,,,,,,,
ARE,United Arab Emirates,Asia,Western Asia,23.424076,53.847818,78.7104,12.69402981,62573.59181,,,,,,,,,,,
ARG,Argentina,Americas,Latin America and the Caribbean,-38.416097,-63.616672,75.3899,11.14726927,20925.26814,27.705847,26.45734,25.898772,26.390125,25.531354,26.977223,25.978698,26.405909,28.099767,28.099767,28.099767
ARM,Armenia,Asia,Western Asia,40.069099,45.038189,72.0431,11.33030033,13157.9939,14.25436,14.25436,14.25436,14.25436,14.25436,17.43837,17.43837,17.43837,17.43837,17.43837,17.43837
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,17.060816,-61.796428,78.4968,9.293740746,16792.36595,,,,,,,,,,,
AUS,Australia,Oceania,Australia and New Zealand,-25.274398,133.775136,84.5265,12.72681999,49238.43335,17.7,17.7,17.7,17.296,17.296,17.134,17.134,17.126,17.126,17.126,17.126
AUT,Austria,Europe,Western Europe,47.516231,14.550072,81.5797,12.25669003,53618.67138,13.84098,15.4998,15.50253,14.165,13.61598,14.77588,15.90224,13.39422,13.39422,14.93291,14.93291
AZE,Azerbaijan,Asia,Western Asia,40.143105,47.576927,69.3658,10.5429697,14256.74456,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859,8.859
BDI,Burundi,Africa,Sub-Saharan Africa,-3.373056,29.918886,61.6627,3.129266883,731.7867086,13.24395,14.14229,14.14229,14.14229,14.14229,14.14229,20.92933,20.92933,20.92933,20.92933,20.92933
BEL,Belgium,Europe,Western Europe,50.503887,4.469936,81.8787,12.37567997,52293.39977,12.29837,12.29837,11.92036,12.25388,12.25388,12.03734,11.39067,11.00229,11.00229,10.30447,10.30447
BEN,Benin,Africa,Sub-Saharan Africa,9.30769,2.315834,59.821,4.304786445,3408.965923,29.39195,29.39195,29.39195,30.29266,30.29266,30.29266,31.97436,31.97436,31.97436,31.97436,31.97436
BFA,Burkina Faso,Africa,Sub-Saharan Africa,12.238333,-1.561593,59.2696,2.114962259,2117.915916,24.18928,24.18928,24.18928,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505,17.31173505
BGD,Bangladesh,Asia,Southern Asia,23.684994,90.356331,72.3811,7.379059792,5472.104781,28.26605,28.26605,28.26605,15.65692,15.65692,15.65692,15.65692,15.24444,16.55655,16.55655,16.55655
BGR,Bulgaria,Europe,Eastern Europe,42.733883,25.48583,71.798,11.41318035,23078.95595,18.79969,17.7552,18.24153,19.95693,21.42273,22.19231,23.90426,21.61938,21.61938,23.00311,23.00311
BHR,Bahrain,Asia,Western Asia,25.930414,50.637772,78.7605,11.04658985,39497.24788,,,,,,,,,,,
BHS,Bahamas,Americas,Latin America and the Caribbean,25.03428,-77.39628,71.5983,12.64192386,30486.18429,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Europe,Southern Europe,43.915886,17.679076,75.3003,10.53631973,15241.91465,16.69773918,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037,20.16037
BLR,Belarus,Europe,Eastern Europe,53.709807,27.953389,72.438,12.14358044,18848.96704,10.91539614,10.78175,10.78175,10.83848169,10.83848169,10.83848169,10.83848169,10.83848169,9.64549,9.64549,9.64549
BLZ,Belize,Americas,Latin America and the Caribbean,17.189877,-88.49765,70.4697,8.847599983,6309.099778,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633,37.92633
BOL,Bolivia,Americas,Latin America and the Caribbean,-16.290154,-63.588653,63.6304,9.827750206,8111.190194,33.642938,35.305419,35.789912,35.394263,34.64197,33.497255,32.212262,29.133537,26.863258,26.863258,26.863258
BRA,Brazil,Americas,Latin America and the Caribbean,-14.235004,-51.92528,72.7504,8.128813955,14369.88848,40.273233,40.655871,39.532759,38.620331,38.603968,40.538964,40.82554,41.636454,41.306376,41.306376,41.306376
BRB,Barbados,Americas,Latin America and the Caribbean,13.193887,-59.543198,77.5714,9.852700596,12306.341,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775,33.58537775
BRN,Brunei,Asia,South-eastern Asia,4.535277,114.727669,74.6424,9.18,64489.53954,,,,,,,,,,,
BTN,Bhutan,Asia,Southern Asia,27.514162,90.433601,71.815,5.170262283,9437.541512,25.09595,21.00062092,21.00062092,21.00062092,21.00062092,21.00062092,19.95514103,19.95514103,19.95514103,19.95514103,19.95514103
BWA,Botswana,Africa,Sub-Saharan Africa,-22.328474,24.684866,61.1409,10.34,16198.31841,55.511,55.511,55.511,55.511,,,,,,,
CAF,Central African Republic,Africa,Sub-Saharan Africa,6.611111,20.939444,53.8947,4.334,966.0586107,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459,49.19459
CAN,Canada,Americas,Northern America,56.130366,-106.346771,82.6565,13.83442722,46807.98619,17.394,17.394,18.221,18.221,17.752,16.83,17.077,17.077,17.077,17.077,17.077
CHE,Switzerland,Europe,Western Europe,46.818188,8.227512,83.9872,13.85966015,66933.00454,13.24658,12.32452,11.10079,12.19519,12.19519,14.48262,14.48262,14.77567,14.77567,15.58172,15.58172
CHL,Chile,Americas,Latin America and the Caribbean,-35.675147,-71.542969,78.9435,10.9349663,24563.24486,30.182054,30.182054,29.810621,29.810621,28.209983,28.209983,28.273047,28.273047,28.273047,28.273047,28.273047
CHN,China,Asia,Eastern Asia,35.86166,104.195397,78.2107,7.600118446,17504.39969,24.11692794,23.31946951,27.391,27.391,27.391,27.391,27.391,27.391,27.391,27.391,27.391
CIV,Ivory Coast,Africa,Sub-Saharan Africa,7.539989,-5.54708,58.5983,5.199138977,5217.448516,34.39171,27.38935,27.38935,27.38935,27.38935,27.04145,27.04145,27.04145,27.04145,27.04145,27.04145
CMR,Cameroon,Africa,Sub-Saharan Africa,7.369722,12.354722,60.3334,6.15131,3620.932408,23.11988,23.11988,23.1,35.86472,35.86472,35.86472,35.86472,34.98911,34.98911,34.98911,34.98911
